1,2.4
2,1.8
3,1.1
4,1
5,1.2
6,1.3
7,1.2
8,2.4
9,2.4
10,2.1
11,1
12,1.8
13,2.4
14,1.7
15,2.6
16,2.3
17,2.4
18,2.1
19,2.1
20,1.9
21,1.4
22,1.6
23,1.3
24,2.8
25,2.1
26,1.9
27,1.2
28,1.7
29,2.7
30,2.6
31,3.1
